"venue","price","date","name","sold_out"
"DROM","$10.00","12.2","The Fultons Album Release Party","Get Tickets"
"DROM","$15.00","12.2","James Jackson, Jr. + 2Scoops","Get Tickets"
"DROM","$15-$20","12.3","Jae Tips","Get Tickets"
"DROM","$12.00 - $15.00","12.4","8th Annual Yule Prog","Get Tickets"
"DROM","$10","12.5","The Clay Pigeons Holiday Show","Get Tickets"
"DROM","$15 - $40","12.5","Cory Henry Group w/ Wil Blades Trio + DJ Boomtown","Get Tickets"
"DROM","$18 - $30","12.6","The Soft Parade: A Tribute to The Doors - Jim Morrison Birthday Show","Get Tickets"
"DROM","$10 - $30","12.6","The Rooks","Get Tickets"
"DROM","$10.00 - $15.00","12.9","Kat Rodriguez","Get Tickets"
"DROM","$50.00 - $125.00","12.11","N.E.D.","Sold Out"
"DROM","$10.00 - $15.00","12.13","Underground Horns & Brown Rice Family Holiday Party","Get Tickets"
"DROM","$25.00","12.14","Michal Urbaniak","Get Tickets"
"DROM","$15.00 - $35.00","12.16","David Virelles 'Mbókò' CD Release Concert","Get Tickets"
"DROM","$5.00","12.18","Dysorderlies","Get Tickets"
"DROM","$17.00 - $37.00","12.20","Banda Magda Holiday Ball w/ House of Waters","Get Tickets"
"DROM","$10 - $30","12.20","PitchBlak Brass Band with special guests Exact Change Project","Get Tickets"
"DROM","$69.00","12.21","Buena Vista Social Club Special with Pepito Gomez","Get Tickets"
"DROM","$69.00","12.21","Buena Vista Social Club Special with Pepito Gomez","Get Tickets"
"DROM","$35.00","12.26","Rafet El Roman","Get Tickets"
"DROM","$35.00 - $170.00","12.31","Mardi Gras * NEW YEAR'S EVE PARTY","Get Tickets"
"DROM","$10.00","1.2","Bombay Rickey and Gato Loco","Get Tickets"
"DROM","Free","1.9","APAP: Mundial New York w/ Aurelio, Rocky Dawuni, Nation Beat & More","Get Tickets"
"DROM","$10.00","1.10","Secret Planet","Get Tickets"
"DROM","$10.00","1.13","APAP Showcase: TriBeCaStan, Black Sea Hotel & Eve Lesov","Get Tickets"
"DROM","$10.00","1.15","M'bolo","Get Tickets"
"DROM","$10.00","1.15","Tango Meets Syrian Jazz: Kinan Azmeh CityBand & JP Jofre Hard Tango Chamber Band","Get Tickets"
"DROM","$69","1.16","Exotic Belly Dance Show and Dinner","Get Tickets"
"DROM","$69","1.16","Exotic Belly Dance Show and Dinner","Get Tickets"
"DROM","$15.00","1.21","Gordon Webster Meets Hetty Kate Album Release Concert","Get Tickets"
"DROM","$18.00 - $38.00","1.23","Operotica","Get Tickets"
"DROM","$18.00 - $38.00","1.23","Operotica","Get Tickets"
"DROM","$12.00 - $20.00","3.20","Nourhan Sharif presents Sadie Belly Dance Show","Get Tickets"
